epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.3114,1.37843,3.58702,1.71957,0.0025,0.75,0.41529,0.18562,1.19576,3.72423,1.59987,3.334e-05,3.334e-05,3.334e-05
2,42.811,1.27127,3.40405,1.58587,0.00289,0.875,0.56455,0.3626,0.93772,3.47553,1.32251,5.58445e-05,5.58445e-05,5.58445e-05
3,62.1367,1.16264,3.21692,1.4366,0.00325,1,0.55366,0.405,0.8983,3.41951,1.29718,4.53424e-05,4.53424e-05,4.53424e-05
