epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,334.637,0.79772,1.25606,1.03508,1,0.44077,0.95333,0.71314,0.91935,2.86834,1.26372,0.000734815,0.000734815,0.000734815
19,354.029,0.77723,1.20399,1.01896,1,0.43179,0.98833,0.72668,0.94813,2.9245,1.36414,0.000767167,0.000767167,0.000767167
20,372.947,0.85483,1.212,1.10294,1,0.47299,0.995,0.72942,0.86613,2.84592,1.31952,0.000798528,0.000798528,0.000798528
21,391.056,0.83192,1.09945,1.09345,0.97956,0.8094,0.995,0.71622,1.07788,2.72806,1.40332,0.000828899,0.000828899,0.000828899
22,409.307,0.77582,1.19605,1.03882,1,0.71412,0.995,0.79461,0.96108,2.73797,1.39032,0.00085828,0.00085828,0.00085828
23,427.547,0.81045,1.24647,1.15523,1,0.68102,0.995,0.80403,0.92925,2.67404,1.34559,0.000886671,0.000886671,0.000886671
24,445.566,0.77279,1.17537,1.03115,0.95747,0.94245,0.995,0.86328,0.73713,2.34672,1.2226,0.000914071,0.000914071,0.000914071
25,463.566,0.73729,1.09329,1.04311,0.9361,0.96692,0.995,0.82329,0.68804,2.14616,1.09778,0.000940481,0.000940481,0.000940481
26,481.753,0.72872,1.09703,1.04791,0.96918,0.98338,0.995,0.85123,0.68903,1.95027,1.05052,0.000965901,0.000965901,0.000965901
27,500.123,0.73148,1.09958,1.0264,0.907,1,0.995,0.83566,0.64045,1.86169,1.0942,0.000990331,0.000990331,0.000990331
28,518.235,0.7964,1.0776,1.0622,0.95885,1,0.995,0.8776,0.62056,1.98687,1.03208,0.00101377,0.00101377,0.00101377
29,536.448,0.68067,1.11114,1.02664,0.95885,1,0.995,0.8776,0.62056,1.98687,1.03208,0.00103622,0.00103622,0.00103622
30,554.676,0.73078,1.04692,1.04409,0.96999,1,0.995,0.8388,0.80668,1.86254,1.09576,0.00105768,0.00105768,0.00105768
31,572.788,0.72443,1.03345,1.01276,0.98076,1,0.995,0.85822,0.67288,1.54228,1.03507,0.00107815,0.00107815,0.00107815
32,590.913,0.82334,1.0561,1.0756,0.9645,1,0.995,0.87762,0.61407,1.47816,1.08154,0.00109763,0.00109763,0.00109763
33,609.415,0.69014,1.02626,1.02645,0.9645,1,0.995,0.87762,0.61407,1.47816,1.08154,0.00111612,0.00111612,0.00111612
34,627.437,0.65531,1.02797,0.98867,0.9594,1,0.995,0.85381,0.66007,1.52956,1.10469,0.00112239,0.00112239,0.00112239
35,645.636,0.67865,0.9209,0.97168,0.9806,1,0.995,0.85174,0.69376,1.28275,1.08627,0.00110589,0.00110589,0.00110589
36,664.109,0.70604,0.98215,1.03815,0.9882,1,0.995,0.85474,0.63358,1.18368,1.10403,0.00108938,0.00108938,0.00108938
37,682.039,0.63527,0.92031,0.9745,0.9882,1,0.995,0.85474,0.63358,1.18368,1.10403,0.00107288,0.00107288,0.00107288
38,700.107,0.65761,0.91192,1.00058,0.9904,1,0.995,0.85395,0.65185,1.13557,1.15028,0.00105638,0.00105638,0.00105638
39,718.161,0.58502,0.91828,0.9558,0.98565,1,0.995,0.83239,0.7222,1.20491,1.24347,0.00103987,0.00103987,0.00103987
40,736.224,0.60038,0.8807,0.96598,0.98749,1,0.995,0.86605,0.7014,1.27468,1.14913,0.00102337,0.00102337,0.00102337
41,754.058,0.61739,0.90993,0.96097,0.98749,1,0.995,0.86605,0.7014,1.27468,1.14913,0.00100687,0.00100687,0.00100687
42,772.065,0.56265,0.89696,0.96062,0.98044,1,0.995,0.8893,0.60088,1.23793,1.10319,0.000990365,0.000990365,0.000990365
43,790.156,0.61929,0.92247,0.97581,0.98174,1,0.995,0.89068,0.57774,1.08407,1.13866,0.000973861,0.000973861,0.000973861
44,808.265,0.58868,0.87791,0.96671,0.99,1,0.995,0.89852,0.56176,0.98383,1.12907,0.000957358,0.000957358,0.000957358
45,826.152,0.64983,0.93187,1.00631,0.99,1,0.995,0.89852,0.56176,0.98383,1.12907,0.000940855,0.000940855,0.000940855
46,844.27,0.57392,0.8128,0.93735,0.98587,1,0.995,0.87963,0.56592,0.96749,1.10004,0.000924352,0.000924352,0.000924352
47,862.321,0.53839,0.79137,0.94255,0.98117,1,0.995,0.88351,0.54781,0.89872,1.07213,0.000907848,0.000907848,0.000907848
48,880.372,0.62391,0.8424,0.97806,0.98218,1,0.995,0.89182,0.555,0.87722,1.0872,0.000891345,0.000891345,0.000891345
49,898.375,0.53098,0.80194,0.95579,0.98218,1,0.995,0.89182,0.555,0.87722,1.0872,0.000874842,0.000874842,0.000874842
50,916.521,0.59251,0.82915,0.94626,0.98389,1,0.995,0.86562,0.57446,0.8982,1.0942,0.000858338,0.000858338,0.000858338
51,934.449,0.58223,0.82902,0.97054,0.97709,1,0.995,0.87335,0.58319,0.93117,1.1035,0.000841835,0.000841835,0.000841835
52,952.4,0.61262,0.82909,0.94245,0.97231,1,0.995,0.83175,0.66768,0.96505,1.12405,0.000825332,0.000825332,0.000825332
53,970.418,0.58115,0.75564,0.93785,0.97231,1,0.995,0.83175,0.66768,0.96505,1.12405,0.000808828,0.000808828,0.000808828
54,988.271,0.60614,0.78587,0.931,0.97457,1,0.995,0.84929,0.64858,0.91052,1.08468,0.000792325,0.000792325,0.000792325
55,1006.15,0.47862,0.70921,0.90546,0.97954,1,0.995,0.87514,0.5793,0.87747,1.06946,0.000775822,0.000775822,0.000775822
56,1024.22,0.49663,0.67292,0.93158,0.98413,1,0.995,0.87585,0.5652,0.85338,1.1172,0.000759318,0.000759318,0.000759318
57,1042.16,0.59928,0.74793,0.93996,0.98413,1,0.995,0.87585,0.5652,0.85338,1.1172,0.000742815,0.000742815,0.000742815
58,1060.09,0.58361,0.7529,0.9488,0.98868,1,0.995,0.87839,0.56312,0.81526,1.10415,0.000726312,0.000726312,0.000726312
59,1078.06,0.54745,0.69869,0.9376,0.99052,1,0.995,0.88762,0.54066,0.77334,1.03009,0.000709809,0.000709809,0.000709809
60,1096.05,0.53136,0.73668,0.94239,0.98906,1,0.995,0.88813,0.55119,0.82327,0.99506,0.000693305,0.000693305,0.000693305
61,1113.89,0.56992,0.68152,0.93409,0.98906,1,0.995,0.88813,0.55119,0.82327,0.99506,0.000676802,0.000676802,0.000676802
62,1132.09,0.51459,0.70889,0.931,0.98622,1,0.995,0.9488,0.49317,0.7992,0.96574,0.000660299,0.000660299,0.000660299
63,1150.06,0.57429,0.76551,0.91634,0.9848,1,0.995,0.92463,0.44073,0.80209,0.95999,0.000643795,0.000643795,0.000643795
64,1168.36,0.47203,0.68863,0.85724,0.98506,1,0.995,0.91743,0.45075,0.77052,0.97772,0.000627292,0.000627292,0.000627292
65,1186.6,0.46446,0.69444,0.92035,0.98506,1,0.995,0.91743,0.45075,0.77052,0.97772,0.000610789,0.000610789,0.000610789
66,1204.78,0.46166,0.67206,0.91447,0.98766,1,0.995,0.91864,0.46893,0.70708,1.0024,0.000594286,0.000594286,0.000594286
67,1222.83,0.53004,0.72058,0.93951,0.99101,1,0.995,0.91454,0.49037,0.67378,1.0139,0.000577782,0.000577782,0.000577782
68,1240.64,0.48489,0.67498,0.93647,0.99126,1,0.995,0.89377,0.48542,0.65911,1.02816,0.000561279,0.000561279,0.000561279
69,1258.48,0.52293,0.65566,0.91917,0.99126,1,0.995,0.89377,0.48542,0.65911,1.02816,0.000544776,0.000544776,0.000544776
70,1276.52,0.47886,0.6714,0.91343,0.98961,1,0.995,0.90724,0.47437,0.66759,1.02944,0.000528272,0.000528272,0.000528272
71,1294.75,0.50027,0.66533,0.93112,0.98671,1,0.995,0.89804,0.50463,0.68183,1.01117,0.000511769,0.000511769,0.000511769
72,1312.8,0.48885,0.67853,0.94754,0.98382,1,0.995,0.88562,0.50436,0.66869,0.99349,0.000495266,0.000495266,0.000495266
73,1331.01,0.42825,0.63062,0.90127,0.98382,1,0.995,0.88562,0.50436,0.66869,0.99349,0.000478762,0.000478762,0.000478762
74,1348.85,0.52719,0.66965,0.91194,0.98369,1,0.995,0.88611,0.49341,0.67282,0.98305,0.000462259,0.000462259,0.000462259
75,1366.65,0.51053,0.70509,0.94233,0.98607,1,0.995,0.88876,0.56856,0.71351,0.99383,0.000445756,0.000445756,0.000445756
76,1384.7,0.45428,0.58409,0.8826,0.98949,1,0.995,0.8724,0.6233,0.69525,1.00839,0.000429253,0.000429253,0.000429253
77,1402.55,0.48282,0.65725,0.90945,0.98949,1,0.995,0.8724,0.6233,0.69525,1.00839,0.000412749,0.000412749,0.000412749
78,1420.39,0.47249,0.6329,0.93259,0.99104,1,0.995,0.88163,0.5975,0.67939,1.00295,0.000396246,0.000396246,0.000396246
79,1438.21,0.45267,0.61431,0.9457,0.99094,1,0.995,0.91143,0.53941,0.67522,0.99008,0.000379743,0.000379743,0.000379743
80,1456.12,0.4565,0.60531,0.90114,0.99176,1,0.995,0.91901,0.51257,0.66847,0.98643,0.000363239,0.000363239,0.000363239
81,1474,0.41779,0.60565,0.86074,0.99176,1,0.995,0.91901,0.51257,0.66847,0.98643,0.000346736,0.000346736,0.000346736
82,1491.91,0.44074,0.61501,0.88534,0.98959,1,0.995,0.90651,0.51287,0.66934,0.98615,0.000330233,0.000330233,0.000330233
83,1510.03,0.43679,0.57437,0.92945,0.98847,1,0.995,0.90887,0.49394,0.64765,0.97997,0.000313729,0.000313729,0.000313729
84,1528.04,0.38805,0.59249,0.87437,0.98804,1,0.995,0.93161,0.47724,0.62701,0.97811,0.000297226,0.000297226,0.000297226
85,1545.81,0.40233,0.54945,0.87324,0.98804,1,0.995,0.93161,0.47724,0.62701,0.97811,0.000280723,0.000280723,0.000280723
86,1563.7,0.48277,0.57987,0.92501,0.98849,1,0.995,0.91414,0.49011,0.62162,0.99736,0.00026422,0.00026422,0.00026422
87,1582.07,0.43736,0.57472,0.89184,0.98941,1,0.995,0.90723,0.50204,0.6138,1.01472,0.000247716,0.000247716,0.000247716
88,1599.88,0.43852,0.62437,0.9256,0.99024,1,0.995,0.92128,0.49812,0.59928,1.01733,0.000231213,0.000231213,0.000231213
89,1617.7,0.45408,0.62197,0.8886,0.99024,1,0.995,0.92128,0.49812,0.59928,1.01733,0.00021471,0.00021471,0.00021471
90,1635.68,0.4267,0.60959,0.90162,0.99135,1,0.995,0.92528,0.48685,0.5895,1.01831,0.000198206,0.000198206,0.000198206
91,1653.41,0.31991,0.72299,0.79903,0.99138,1,0.995,0.93444,0.48458,0.59953,1.0199,0.000181703,0.000181703,0.000181703
92,1671.04,0.35468,0.77298,0.787,0.9918,1,0.995,0.91569,0.50731,0.61199,1.03078,0.0001652,0.0001652,0.0001652
93,1688.58,0.33812,0.71521,0.85476,0.9918,1,0.995,0.91569,0.50731,0.61199,1.03078,0.000148696,0.000148696,0.000148696
94,1706.24,0.3379,0.69208,0.8323,0.99183,1,0.995,0.8897,0.53017,0.61626,1.03561,0.000132193,0.000132193,0.000132193
95,1724.14,0.34891,0.72146,0.81358,0.99159,1,0.995,0.88644,0.52609,0.62646,1.02949,0.00011569,0.00011569,0.00011569
96,1741.77,0.3692,0.74722,0.8121,0.99106,1,0.995,0.91353,0.5098,0.64458,1.0258,9.91865e-05,9.91865e-05,9.91865e-05
97,1759.51,0.30276,0.68296,0.84142,0.99106,1,0.995,0.91353,0.5098,0.64458,1.0258,8.26832e-05,8.26832e-05,8.26832e-05
98,1777.16,0.31534,0.70939,0.80713,0.99117,1,0.995,0.92211,0.489,0.64343,1.01549,6.61799e-05,6.61799e-05,6.61799e-05
99,1794.98,0.27774,0.68368,0.81941,0.99113,1,0.995,0.91649,0.47484,0.63815,1.00537,4.96766e-05,4.96766e-05,4.96766e-05
100,1812.89,0.27562,0.68583,0.80278,0.9914,1,0.995,0.91855,0.46809,0.63087,0.99825,3.31733e-05,3.31733e-05,3.31733e-05
