epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1266,1.37843,3.58702,1.71957,0.0025,0.75,0.41529,0.18562,1.19576,3.72423,1.59987,3.334e-05,3.334e-05,3.334e-05
2,37.9401,1.25543,3.37494,1.56242,0.00328,1,0.56861,0.39025,0.89885,3.4466,1.27661,8.25248e-05,8.25248e-05,8.25248e-05
3,56.6447,1.1292,3.03298,1.39625,0.00325,1,0.61558,0.46914,0.7458,3.36872,1.25396,0.000130719,0.000130719,0.000130719
4,75.3067,1.12553,2.55135,1.36218,0.00324,1,0.59684,0.44798,0.81505,3.1241,1.3665,0.000177924,0.000177924,0.000177924
5,93.7413,1.05613,2.44497,1.25462,0.90187,0.625,0.68011,0.52661,0.75013,2.98996,1.17422,0.000224138,0.000224138,0.000224138
6,112.143,0.91393,1.73043,1.15935,0.00324,1,0.7215,0.53971,0.70897,3.12207,1.16671,0.000269362,0.000269362,0.000269362
7,130.799,0.85054,1.65271,1.10956,0.00325,1,0.745,0.45586,0.95806,3.24367,1.23933,0.000313596,0.000313596,0.000313596
8,149.328,0.8998,1.69819,1.17044,0.00325,1,0.72152,0.53408,0.81705,3.11219,1.20205,0.00035684,0.00035684,0.00035684
9,167.768,0.89699,1.6608,1.17895,1,0.45168,0.72882,0.58993,0.74413,2.85374,1.19096,0.000399093,0.000399093,0.000399093
10,186.163,0.87794,1.51015,1.14762,1,0.4251,0.81034,0.62416,0.73547,2.82234,1.20534,0.000440356,0.000440356,0.000440356
11,204.368,0.89368,1.47722,1.16149,1,0.49072,0.91018,0.75455,0.80178,2.79295,1.26435,0.000480629,0.000480629,0.000480629
12,222.678,0.82847,1.35561,1.10284,1,0.46317,0.97,0.81351,0.75356,2.82749,1.1825,0.000519912,0.000519912,0.000519912
13,242.071,0.83517,1.40879,1.13338,0.93094,0.5,0.995,0.7721,0.88247,2.7443,1.40103,0.000558205,0.000558205,0.000558205
14,260.594,0.79585,1.31644,1.02592,0.9812,0.5,0.995,0.79279,0.86423,2.70493,1.35363,0.000595507,0.000595507,0.000595507
15,279.507,0.81258,1.40579,1.11705,1,0.58804,0.995,0.79986,0.78848,2.81505,1.30056,0.00063182,0.00063182,0.00063182
16,297.812,0.95464,1.28868,1.11506,1,0.45406,0.995,0.85233,0.72048,2.81612,1.26031,0.000667142,0.000667142,0.000667142
17,316.554,0.82949,1.24251,1.10141,1,0.7573,0.9325,0.76846,0.92699,2.89736,1.33504,0.000701474,0.000701474,0.000701474
