epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.117,1.37843,3.58702,1.71957,0.0025,0.75,0.41529,0.18562,1.19576,3.72423,1.59987,3.334e-05,3.334e-05,3.334e-05
2,40.6694,1.25494,3.37434,1.56202,0.00328,1,0.56861,0.39025,0.89837,3.44631,1.27628,8.30749e-05,8.30749e-05,8.30749e-05
3,62.7481,1.13102,3.03461,1.39447,0.00325,1,0.61559,0.46914,0.75791,3.36169,1.26453,0.00013248,0.00013248,0.00013248
