epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9575,1.37843,3.58702,1.71957,0.0025,0.75,0.41529,0.18562,1.19576,3.72423,1.59987,3.334e-05,3.334e-05,3.334e-05
2,53.7394,1.25746,3.37805,1.56341,0.00328,1,0.56863,0.37567,0.90645,3.44331,1.29099,7.92242e-05,7.92242e-05,7.92242e-05
3,74.4018,1.13417,3.0504,1.39933,0.00325,1,0.60724,0.46247,0.77165,3.35678,1.26601,0.000120157,0.000120157,0.000120157
4,95.2652,1.12342,2.57133,1.35361,0.00324,1,0.60768,0.44597,0.80644,3.15561,1.36247,0.00015614,0.00015614,0.00015614
5,114.214,1.09032,2.44393,1.26054,0.38426,0.71094,0.68011,0.53323,0.72982,2.95418,1.17963,0.000187171,0.000187171,0.000187171
6,132.502,0.94696,1.76034,1.16789,0.00325,1,0.745,0.60147,0.6711,3.00956,1.1655,0.000213251,0.000213251,0.000213251
7,151.034,0.84808,1.6581,1.10981,0.00325,1,0.73859,0.54325,0.74177,3.099,1.20943,0.00023438,0.00023438,0.00023438
8,169.328,0.89244,1.69295,1.18784,0.00327,1,0.82192,0.63517,0.75871,3.08827,1.15699,0.000250558,0.000250558,0.000250558
9,187.538,0.8487,1.56327,1.12306,0.00327,1,0.80056,0.63437,0.68014,3.07192,1.11796,0.000261786,0.000261786,0.000261786
10,205.675,0.80151,1.42461,1.07515,0.00329,1,0.795,0.65246,0.67265,3.02566,1.1075,0.000268062,0.000268062,0.000268062
11,224.01,0.6717,1.84089,1.00513,0.00331,1,0.78379,0.62619,0.73447,2.96844,1.11384,0.000269387,0.000269387,0.000269387
12,242.424,0.73812,1.9104,1.05991,0.00332,1,0.79182,0.67063,0.69755,2.9888,1.13144,0.000265761,0.000265761,0.000265761
13,260.532,0.75106,1.75781,1.1232,0.99718,0.73652,0.83591,0.71776,0.67739,2.927,1.15749,0.000257185,0.000257185,0.000257185
14,278.774,0.64096,1.74025,1.01331,0.99619,0.74119,0.845,0.73199,0.64099,2.87611,1.11509,0.000243657,0.000243657,0.000243657
15,297.142,0.65834,1.78081,0.98437,0.93324,0.75,0.86306,0.7394,0.64269,2.76858,1.08578,0.000225178,0.000225178,0.000225178
16,315.065,0.57979,1.66764,0.9485,0.93139,0.75,0.88786,0.74324,0.64578,2.70677,1.09307,0.000201749,0.000201749,0.000201749
17,333.671,0.62246,1.73476,0.98149,0.94278,0.75,0.91167,0.7338,0.7602,2.56446,1.22734,0.000173368,0.000173368,0.000173368
18,353.041,0.57596,1.51416,0.97066,0.94765,0.75,0.92208,0.75187,0.72827,2.52779,1.21028,0.000140036,0.000140036,0.000140036
19,371.186,0.58489,1.51767,0.98417,0.95521,0.84164,0.97,0.82607,0.68353,2.51078,1.1793,0.000101754,0.000101754,0.000101754
20,389.325,0.52395,1.56571,0.96171,0.95429,0.84949,0.995,0.86367,0.63327,2.46866,1.14979,5.852e-05,5.852e-05,5.852e-05
